Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT
1982,1,DOO,OB 베어스,80,56,24,0,283,3.2,700
1982,2,SAM,삼성 라이온즈,80,54,26,0,266,2.7,675
1982,3,LGT,MBC 청룡,80,46,34,0,282,3.51,575
1982,4,KIA,해태 타이거즈,80,38,42,0,261,3.79,475
1982,5,LOT,롯데 자이언츠,80,31,49,0,256,3.95,388
1982,6,HYU,삼미 슈퍼스타즈,80,15,65,0,240,6.23,188
1983,1,LGT,MBC 청룡,100,55,43,2,255,2.71,561
1983,2,KIA,해태 타이거즈,100,55,44,1,268,3.17,556
1983,3,HYU,삼미 슈퍼스타즈,100,52,47,1,245,3.04,525
1983,4,SAM,삼성 라이온즈,100,46,50,4,263,3.42,479
1983,5,DOO,OB 베어스,100,44,55,1,259,3.52,444
1983,6,LOT,롯데 자이언츠,100,43,56,1,244,3.79,434
1984,1,DOO,OB 베어스,100,58,41,1,256,2.53,586
1984,2,SAM,삼성 라이온즈,100,55,45,0,270,3.35,550
1984,3,LGT,MBC 청룡,100,51,48,1,253,3.18,515
1984,4,LOT,롯데 자이언츠,100,50,48,2,257,3.31,510
1984,5,KIA,해태 타이거즈,100,43,54,3,248,3.16,443
1984,6,HYU,삼미 슈퍼스타즈,100,38,59,3,237,4.05,392
1985,1,SAM,삼성 라이온즈,110,77,32,1,276,2.98,706
1985,2,LOT,롯데 자이언츠,110,59,51,0,256,3.05,536
1985,3,KIA,해태 타이거즈,110,57,52,1,272,3.64,523
1985,4,DOO,OB 베어스,110,51,57,2,260,3.14,472
1985,5,LGT,MBC 청룡,110,44,65,1,246,3.24,404
1985,6,HYU,청보 핀토스,110,39,70,1,252,4.87,358
1986,1,SAM,삼성 라이온즈,108,70,37,1,276,2.95,654
1986,2,KIA,해태 타이거즈,108,67,37,4,259,2.86,644
1986,3,LGT,MBC 청룡,108,59,41,8,265,2.79,590
1986,4,DOO,OB 베어스,108,56,48,4,249,2.61,538
1986,5,LOT,롯데 자이언츠,108,50,52,6,248,2.74,490
1986,6,HYU,청보 핀토스,108,32,74,2,219,3.99,302
1986,7,HAN,빙그레 이글스,108,31,76,1,236,3.65,290
1987,1,SAM,삼성 라이온즈,108,64,44,0,300,3.58,593
1987,2,KIA,해태 타이거즈,108,55,48,5,252,3.16,532
1987,3,LOT,롯데 자이언츠,108,54,49,5,268,3.36,523
1987,4,DOO,OB 베어스,108,55,52,1,261,3.26,514
1987,5,LGT,MBC 청룡,108,50,51,7,258,3.36,495
1987,6,HAN,빙그레 이글스,108,47,57,4,274,3.78,454
1987,7,HYU,청보 핀토스,108,41,65,2,242,4.36,389
1988,1,KIA,해태 타이거즈,108,68,38,2,283,2.86,639
1988,2,HAN,빙그레 이글스,108,62,45,1,266,3.72,579
1988,3,LOT,롯데 자이언츠,108,57,49,2,270,3.63,537
1988,4,SAM,삼성 라이온즈,108,56,50,2,278,4.18,528
1988,5,DOO,OB 베어스,108,54,52,2,258,3.73,509
1988,6,LGT,MBC 청룡,108,40,64,4,260,3.96,389
1988,7,HYU,태평양 돌핀스,108,34,73,1,261,4.57,319
1989,1,HAN,빙그레 이글스,120,71,46,3,276,3.47,604
1989,2,KIA,해태 타이거즈,120,65,51,4,255,3.34,558
1989,3,HYU,태평양 돌핀스,120,62,54,4,249,3.03,533
1989,4,SAM,삼성 라이온즈,120,57,58,5,272,4.42,496
1989,5,DOO,OB 베어스,120,54,63,3,247,3.7,463
1989,6,LGT,MBC 청룡,120,49,67,4,252,4.27,425
1989,7,LOT,롯데 자이언츠,120,48,67,5,247,3.91,421
1990,1,LGT,LG 트윈스,120,71,49,0,271,3.38,592
1990,2,KIA,해태 타이거즈,120,68,49,3,270,3.36,579
1990,3,HAN,빙그레 이글스,120,68,50,2,270,3.4,575
1990,4,SAM,삼성 라이온즈,120,66,52,2,263,4.13,558
1990,5,HYU,태평양 돌핀스,120,58,59,3,246,3.68,496
1990,6,LOT,롯데 자이언츠,120,44,71,5,245,4.44,388
1990,7,DOO,OB 베어스,120,35,80,5,231,4.72,313
1991,1,KIA,해태 타이거즈,126,79,42,5,259,2.89,647
