game_id,h_f1_avg_runs_scored_30,h_f2_avg_runs_allowed_30,h_f3_team_batting_avg_30,h_f4_pitcher_runs_avg,h_f5_total_win_pct,h_f6_ha_win_pct,a_f1_avg_runs_scored_30,a_f2_avg_runs_allowed_30,a_f3_team_batting_avg_30,a_f4_pitcher_runs_avg,a_f5_total_win_pct,a_f6_ha_win_pct,target
20230321_KIA_LG_0,4.428571428571429,2.7142857142857144,0.27586206896551724,0.0,0.5714285714285714,0.6666666666666666,5.0,3.857142857142857,0.2727272727272727,0.0,0.7142857142857143,0.7142857142857143,1
20230324_KIA_SSG_0,4.125,3.125,0.26053639846743293,3.0,0.5,0.5,2.875,4.125,0.22692307692307692,0.0,0.25,0.25,1
20230326_KIA_NC_0,3.9,3.2,0.24539877300613497,1.5,0.4,0.3333333333333333,3.5,4.6,0.23529411764705882,3.0,0.3,0.0,0
20230407_KIA_두산_0,4.066666666666666,3.8,0.25,1.75,0.4,0.42857142857142855,3.888888888888889,4.333333333333333,0.24549918166939444,1.75,0.4444444444444444,0.45454545454545453,1
20230408_KIA_두산_0,3.875,3.8125,0.24615384615384617,1.5,0.375,0.375,3.8947368421052633,4.157894736842105,0.24572317262830481,1.5,0.47368421052631576,0.5,0
20230409_KIA_두산_0,4.0588235294117645,3.9411764705882355,0.2527075812274368,3.0,0.4117647058823529,0.4444444444444444,4.0,4.3,0.24963072378138848,0.0,0.45,0.46153846153846156,1
20230411_KIA_한화_0,3.9444444444444446,3.888888888888889,0.2504258943781942,1.5,0.3888888888888889,0.4,5.75,4.3,0.26392961876832843,2.0,0.5,0.625,1
20230412_KIA_한화_0,3.9473684210526314,3.9473684210526314,0.2512,2.0,0.3684210526315789,0.36363636363636365,5.714285714285714,4.285714285714286,0.26323119777158777,0.6666666666666666,0.5238095238095238,0.6666666666666666,0
20230413_KIA_한화_0,3.85,3.75,0.24655436447166923,1.6666666666666667,0.4,0.4166666666666667,5.454545454545454,4.181818181818182,0.2580213903743315,2.3333333333333335,0.5,0.6,1
20230421_KIA_삼성_0,3.5185185185185186,4.037037037037037,0.24721603563474387,1.6666666666666667,0.3333333333333333,0.38461538461538464,4.766666666666667,5.2,0.26300294406280667,5.0,0.5666666666666667,0.6,0
20230422_KIA_삼성_0,3.5714285714285716,4.035714285714286,0.24812030075187969,1.5,0.35714285714285715,0.42857142857142855,4.8,5.333333333333333,0.2651663405088063,4.0,0.5483870967741935,0.5454545454545454,0
20230423_KIA_삼성_0,3.6551724137931036,3.9655172413793105,0.2481827622014538,2.0,0.3793103448275862,0.4666666666666667,4.833333333333333,5.466666666666667,0.2649071358748778,2.6666666666666665,0.53125,0.5,0
20230425_KIA_NC_0,3.7,3.933333333333333,0.2522613065326633,1.2,0.4,0.5,4.166666666666667,3.933333333333333,0.2517412935323383,0.8571428571428571,0.42424242424242425,0.4,1
20230426_KIA_NC_0,3.6666666666666665,3.933333333333333,0.25125628140703515,4.0,0.3870967741935484,0.47058823529411764,4.266666666666667,3.933333333333333,0.2527254707631318,1.0,0.4411764705882353,0.4375,0
20230427_KIA_NC_0,3.6,3.8333333333333335,0.24848484848484848,1.75,0.40625,0.5,4.033333333333333,3.933333333333333,0.25297619047619047,2.3333333333333335,0.42857142857142855,0.4117647058823529,0
20230502_KIA_롯데_0,3.8666666666666667,4.0,0.24446680080482897,3.4285714285714284,0.4722222222222222,0.5263157894736842,4.9,5.133333333333334,0.25349301397205587,3.5,0.5142857142857142,0.5,1
20230503_KIA_롯데_0,3.9,4.2,0.245,1.4,0.4594594594594595,0.5,5.066666666666666,5.1,0.2559760956175299,2.0,0.5277777777777778,0.5384615384615384,0
20230509_KIA_SSG_0,4.166666666666667,4.066666666666666,0.2517412935323383,1.6666666666666667,0.47368421052631576,0.5238095238095238,4.566666666666666,3.8333333333333335,0.2566897918731417,2.142857142857143,0.5813953488372093,0.5357142857142857,0
20230511_KIA_SSG_0,4.166666666666667,4.0,0.25822532402791626,1.3333333333333333,0.475,0.5217391304347826,4.433333333333334,3.7,0.25496031746031744,2.142857142857143,0.5777777777777777,0.5333333333333333,1
20230519_KIA_키움_0,4.2,4.1,0.25951219512195123,1.5,0.45652173913043476,0.5,4.633333333333334,3.7,0.258309591642925,2.090909090909091,0.39622641509433965,0.3,0
20230520_KIA_키움_0,4.3,3.933333333333333,0.26285160038797284,3.7777777777777777,0.46808510638297873,0.52,4.366666666666666,3.966666666666667,0.25047801147227533,2.3,0.3888888888888889,0.2857142857142857,0
20230521_KIA_키움_0,4.333333333333333,3.9,0.26264591439688717,1.75,0.4791666666666667,0.5384615384615384,4.133333333333334,4.0,0.2437619961612284,2.8,0.38181818181818183,0.2727272727272727,1
20230526_KIA_LG_0,4.433333333333334,3.8,0.2616731517509728,3.6,0.46153846153846156,0.5185185185185185,5.066666666666666,4.1,0.29082125603864734,1.3333333333333333,0.6206896551724138,0.65625,1
20230527_KIA_LG_0,4.5,3.7666666666666666,0.2655038759689923,1.6666666666666667,0.4528301886792453,0.5,5.1,4.0,0.29206963249516443,2.0,0.6271186440677966,0.6666666666666666,0
20230528_KIA_LG_0,4.7,3.8,0.2703488372093023,2.5833333333333335,0.46296296296296297,0.5172413793103449,4.966666666666667,4.033333333333333,0.29010566762728146,1.0,0.6166666666666667,0.6470588235294118,1
20230530_KIA_KT_0,4.566666666666666,3.8,0.2677012609117362,1.5,0.45454545454545453,0.5,3.5,5.0,0.2473633748801534,2.3333333333333335,0.3728813559322034,0.32142857142857145,0
