Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT,PS,oWAR,OPS,wRC+,R,pWAR_sum,FIP,WHIP,Total_RA,Pyth_WPCT
1987,5,LG,MBC 청룡,108,50,51,7,258,3.36,495,0,11.5,0.5406799999999999,38.284,388.0,14.219999999999999,3.6060000000000003,1.41,407.0,476.1142719779498
1987,6,HH,빙그레 이글스,108,47,57,4,274,3.78,454,0,18.259999999999998,0.6213478260869565,68.51739130434783,410.0,14.74,5.106923076923077,1.7446153846153847,454.0,449.2058062711129
1987,7,WO,청보 핀토스,108,41,65,2,242,4.36,389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1,HT,해태 타이거즈,108,68,38,2,283,2.86,639,1,26.939999999999998,0.6128,63.855,505.0,24.66,5.095,1.7458333333333333,364.0,658.0933678415929
1988,2,HH,빙그레 이글스,108,62,45,1,266,3.72,579,2,19.35,0.59864,57.488,506.0,18.0,4.1641176470588235,1.6858823529411764,441.0,568.3159569992513
1988,3,LT,롯데 자이언츠,108,57,49,2,270,3.63,537,0,19.53,0.6288461538461539,73.26923076923077,482.0,15.39,4.1241666666666665,1.5625,438.0,547.7169423423084
1988,4,SS,삼성 라이온즈,108,56,50,2,278,4.18,528,3,25.060000000000002,0.6718695652173913,86.07391304347826,516.0,13.9,5.131333333333333,1.6380000000000001,486.0,529.9133051504822
1988,5,OB,OB 베어스,108,54,52,2,258,3.73,509,0,13.049999999999999,0.5109259259259259,20.425925925925927,418.0,13.059999999999999,4.382727272727273,1.3909090909090909,441.0,473.2438618099071
1988,6,LG,MBC 청룡,108,40,64,4,260,3.96,389,0,12.56,0.5136785714285714,28.435714285714283,408.0,7.8500000000000005,4.107777777777778,1.48,491.0,408.4555079797115
1988,7,WO,태평양 돌핀스,108,34,73,1,261,4.57,319,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,1,HH,빙그레 이글스,120,71,46,3,276,3.47,604,2,30.23,0.66836,85.696,594.0,23.72,4.194375,1.908125,471.0,613.9727185869385
1989,2,HT,해태 타이거즈,120,65,51,4,255,3.34,558,1,21.02,0.6058636363636364,66.37727272727273,500.0,21.9,889.6492857142857,8.680714285714284,442.0,561.3385904550854
