Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10557,오선진,1989년 07월 07일,우투우타,화곡초-성남중-성남고,08 한화 2차 4라운드 26순위,16시즌,3B,1234,1.41,-2.01,3152,3066,2775,290,667,102,6,19,838,248,49,28,214,62,0,562,77,86,15,0.240,0.308,0.302,0.610,0.095,65.6,-0.60
10558,이대수,1981년 08월 21일,우투우타,중앙초-군산중-군산상고,01 SK 육성선수,17시즌,SS,1190,7.65,7.65,3252,3156,2860,328,736,131,21,35,1014,299,43,29,224,47,0,523,64,95,25,0.257,0.319,0.355,0.674,0.104,82.5,15.31
10559,이범호,1981년 11월 25일,우투우타,대구수창초-경운중-대구고,00 한화 2차 1라운드 8순위,19시즌,3B,2001,52.25,-1.77,7451,7389,6370,954,1727,334,12,329,3072,1127,49,29,863,115,35,1158,176,36,67,0.271,0.365,0.482,0.847,0.129,123.0,50.48
10560,이여상,1984년 02월 01일,우투우타,감천초-대동중-부산공고-동국대,06 삼성 육성선수,9시즌,3B,478,-0.59,0.50,1130,1090,994,103,223,39,4,14,312,110,35,11,76,12,0,265,24,40,8,0.224,0.285,0.314,0.599,0.095,55.8,-0.09
10561,전현태,1986년 07월 09일,우투좌타,서울이수초-대치중-부산고,05 한화 2차 2라운드 12순위,8시즌,2B,236,-0.14,0.39,367,361,304,70,55,6,1,8,87,35,33,13,52,4,1,114,1,5,2,0.181,0.307,0.286,0.593,0.194,62.8,0.25
10562,정원석,1977년 03월 27일,우투우타,역삼초-휘문중-휘문고-동국대,96 OB 2차 2라운드 17순위,10시즌,2B,542,2.62,-0.03,1138,1116,971,138,250,36,7,16,348,104,38,25,95,43,3,233,25,19,10,0.257,0.347,0.358,0.705,0.124,87.2,2.59
10563,한윤섭,1985년 09월 12일,우투우타,춘천초-춘천중-경동고-동아대,08 한화 육성선수,4시즌,2B,81,-0.51,0.04,58,57,50,14,6,1,1,0,9,4,6,1,4,2,0,9,2,1,1,0.120,0.211,0.180,0.391,0.246,-17.7,-0.47
10564,강동우,1974년 04월 20일,좌투좌타,칠성초-경상중-경북고-단국대,98 삼성 1차,15시즌,RF,1427,25.54,-0.05,5319,5212,4613,687,1247,199,32,75,1735,456,133,58,556,23,10,611,102,93,30,0.270,0.350,0.376,0.726,0.132,103.3,25.48
10565,김동영,1985년 04월 02일,우투좌타,수영초-대동중-부산상고,05 한화 2차 4라운드 28순위,3시즌,CF,23,-0.17,-0.02,33,30,27,1,5,0,0,0,5,2,1,1,3,0,0,9,1,3,0,0.185,0.267,0.185,0.452,0.033,26.7,-0.19
10566,디아즈,1981년 12월 10일,우투우타,-,09 한화 자유선발,1시즌,RF,62,1.16,-1.02,229,227,207,37,55,15,0,15,115,39,2,1,17,2,2,76,11,0,3,0.266,0.323,0.556,0.879,0.163,106.0,0.14
