Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
1001,구천서,1963년 08월 15일,우투우타,옥산초-경운중-신일고,82 OB 창단 멤버,12시즌,2B,840,8.07,3.37,2235,2156,1864,269,455,61,16,22,614,177,75,37,245,35,4,330,29,75,16,0.244,0.340,0.329,0.669,0.125,92.6,11.44
1002,권두조,1951년 06월 10일,우투우타,부산중앙초-부산동성중-부경고-중앙대,82 롯데 창단 멤버,6시즌,2B,588,-0.25,1.81,1884,1788,1603,149,352,53,9,1,426,112,24,31,157,22,1,159,34,94,7,0.220,0.297,0.266,0.563,0.083,63.2,1.56
1003,금광옥,1956년 12월 19일,우투우타,동산고,82 삼미 창단 멤버,7시즌,C,413,3.49,2.80,1294,1281,1164,113,273,47,4,29,415,125,6,8,105,8,1,169,22,12,5,0.235,0.301,0.357,0.658,0.088,85.7,6.29
1004,김경남,1959년 11월 05일,우투우타,창영초-상인천중-인천고-인하대,82 삼미 창단 멤버,7시즌,2B,360,-1.48,1.44,936,908,852,71,178,33,8,7,248,61,6,5,47,4,0,120,26,28,5,0.209,0.252,0.291,0.543,0.078,47.6,-0.03
1005,김봉연,1952년 01월 13일,우투우타,군산상고-연세대,82 해태 창단 멤버,7시즌,DH,630,21.88,-7.02,2438,2404,2145,311,596,84,8,110,1026,334,24,18,241,21,15,187,59,16,12,0.278,0.355,0.478,0.833,0.129,137.0,14.86
1006,김성관,1952년 07월 06일,우투우타,경남고-고려대,82 롯데 창단 멤버,3시즌,LF,171,1.73,-0.75,555,548,499,56,124,25,5,8,183,61,25,10,34,13,0,45,15,6,2,0.248,0.312,0.367,0.679,0.102,87.8,0.98
1007,김용달,1956년 05월 10일,우투우타,대구인지초-대구중앙중-대광고-중앙대,82 MBC 창단 멤버,7시즌,3B,315,4.13,-1.92,681,671,591,66,153,28,4,12,225,72,7,5,77,2,3,102,24,7,4,0.259,0.344,0.381,0.725,0.098,112.0,2.21
1008,김용운,1955년 06월 05일,우투우타,한밭중-서울동산고,82 MBC 창단 멤버,9시즌,C,592,0.70,1.68,1660,1593,1484,127,367,52,4,9,454,160,10,11,82,17,2,129,52,65,12,0.247,0.292,0.306,0.598,0.080,63.7,2.37
1009,김용철,1957년 09월 21일,우투우타,대신중-부산상고,82 롯데 창단 멤버,11시즌,2B,1025,33.00,-5.73,3865,3826,3415,479,968,192,10,131,1573,555,74,42,369,29,18,382,110,19,31,0.283,0.355,0.461,0.816,0.125,132.8,27.26
1010,김우근,1956년 01월 26일,우투우타,군산상고-건국대,82 해태 창단 멤버,6시즌,CF,397,4.39,0.59,1202,1165,1043,142,264,35,8,11,348,85,65,25,111,9,4,111,24,33,6,0.253,0.328,0.334,0.662,0.122,91.0,4.99
1011,김우열,1949년 09월 09일,우투우타,서울금양초-선린중-선린고,82 OB 창단 멤버,5시즌,CF,343,11.74,-0.63,1256,1242,1076,160,299,45,6,41,479,173,43,16,155,16,12,141,15,2,7,0.278,0.375,0.445,0.820,0.129,139.2,11.11
1012,김인식,1953년 11월 09일,우투우타,청원고-성균관대,82 MBC 창단 멤버,7시즌,3B,662,2.32,1.04,2410,2338,2167,260,553,67,11,11,675,154,99,46,107,60,3,110,38,68,7,0.255,0.308,0.311,0.619,0.111,68.4,3.36
1013,김일권,1956년 09월 20일,우투우타,군산남초-군산남중-군산상고-한양대,82 해태 창단 멤버,10시즌,CF,841,8.42,0.44,3196,3115,2817,364,713,102,16,28,931,243,363,146,267,22,11,187,55,70,20,0.253,0.321,0.330,0.651,0.117,86.1,8.86
1014,김정수,1953년 04월 02일,좌투좌타,부산고-한양대,82 롯데 창단 멤버,5시즌,1B,346,5.92,-0.59,1150,1135,966,129,226,46,6,23,353,113,20,18,156,7,2,137,14,12,8,0.234,0.342,0.365,0.707,0.114,108.6,5.33
1015,김준환,1955년 05월 19일,우투우타,군산남중-군산상고,82 해태 창단 멤버,8시즌,LF,670,11.81,-4.98,2408,2383,2170,255,588,76,7,61,861,285,41,24,171,17,5,261,68,19,30,0.271,0.325,0.397,0.722,0.107,103.1,6.84
1016,배대웅,1954년 03월 02일,우투우타,경북고,82 삼성 창단 멤버,5시즌,SS,356,3.88,-0.15,930,899,822,85,213,32,3,11,284,83,24,7,72,4,1,52,16,30,2,0.259,0.321,0.345,0.666,0.095,93.1,3.73
1017,백인천,1943년 11월 27일,우투우타,경동고,82 MBC 창단 멤버(감독 겸 선수),3시즌,LF,116,6.85,-1.06,468,457,403,67,135,31,2,23,239,91,13,3,56,4,10,29,11,1,4,0.335,0.418,0.593,1.011,0.147,184.4,5.80
1018,송경섭,1960년 11월 26일,우투우타,인천고-인하대,82 삼미 창단 멤버,1시즌,3B,53,-0.26,-0.13,172,171,152,9,30,9,1,2,47,20,2,1,12,5,0,41,4,1,2,0.197,0.275,0.309,0.584,0.053,48.5,-0.39
1019,신경식,1961년 08월 19일,좌투좌타,부산동성초-부산동성중-공주고,82 OB 창단 멤버,14시즌,1B,1366,24.28,-4.55,5180,5095,4650,559,1282,208,38,56,1734,559,155,77,384,54,40,347,72,44,47,0.276,0.335,0.373,0.708,0.110,100.8,19.73
1020,양세종,1958년 01월 17일,우투우타,장충고-연세대,82 OB 창단 멤버,7시즌,3B,492,6.52,-1.07,1649,1633,1490,166,403,64,11,27,570,199,36,32,114,17,8,157,41,8,20,0.270,0.325,0.383,0.708,0.102,97.1,5.45
1021,양승관,1959년 06월 02일,우투우타,인천숭의초-동인천중-인천고-인하대,82 삼미 창단 멤버,8시즌,RF,446,4.64,0.68,1473,1447,1334,150,330,66,6,31,501,155,14,19,99,12,6,202,29,20,8,0.247,0.304,0.376,0.680,0.104,90.6,5.32
1022,오대석,1960년 01월 02일,우투우타,남도초-경구중-대구상고-한양대,82 삼성 창단 멤버,10시즌,2B,723,11.11,-2.43,2410,2344,2055,249,514,77,7,36,713,248,41,20,250,22,5,264,47,59,22,0.250,0.335,0.347,0.682,0.106,97.6,8.69
1023,윤동균,1949년 07월 02일,좌투좌타,충남중-동대문상고,82 OB 창단 멤버,8시즌,LF,594,20.25,-2.43,2278,2248,1963,263,560,98,21,38,814,277,41,22,287,7,29,194,40,1,20,0.285,0.375,0.415,0.790,0.117,136.0,17.82
1024,이광은,1955년 06월 28일,우투우타,배명중-배재고-연세대,82 MBC 창단 멤버,10시즌,3B,922,26.30,-3.65,3705,3642,3279,475,929,149,26,90,1400,473,119,60,311,55,40,314,81,23,37,0.283,0.352,0.427,0.779,0.130,120.7,22.66
1025,이만수,1958년 09월 19일,우투우타,대구중앙초-대구중-대구상고-한양대,82 삼성 창단 멤버,16시즌,C,1449,54.21,3.85,5034,4972,4310,624,1276,193,7,252,2239,860,52,48,554,118,53,490,140,3,43,0.296,0.388,0.519,0.907,0.126,152.8,58.06
1026,이종도,1952년 05월 22일,우투우타,중앙고-고려대,82 MBC 창단 멤버,6시즌,RF,481,10.17,-1.87,1482,1466,1284,174,344,69,6,28,509,176,50,15,154,20,6,188,26,10,14,0.268,0.352,0.396,0.748,0.119,118.1,8.30
1027,장태수,1957년 10월 15일,우투우타,대구고,82 삼성 2차 1라운드 4순위,11시즌,CF,1004,20.38,-2.88,3010,2926,2532,428,692,110,20,48,986,291,151,72,331,41,2,322,40,80,24,0.273,0.363,0.389,0.752,0.146,119.5,17.50
1028,정구왕,1954년 03월 26일,우투우타,경상중-경북고-중앙대,82 삼성 창단 멤버,5시즌,CF,294,-0.98,1.15,789,765,712,69,166,11,4,4,197,49,34,24,41,10,0,87,16,24,2,0.233,0.284,0.277,0.561,0.090,56.1,0.17
1029,정영기,1956년 02월 29일,우투우타,대전신흥초-한밭중-충암고-영남대,82 MBC 창단 멤버,9시즌,SS,743,1.15,1.82,2169,2125,1963,172,472,57,10,8,573,162,25,21,144,10,1,211,47,43,9,0.240,0.294,0.292,0.586,0.081,64.7,2.97
1030,조충열,1959년 02월 25일,우투우타,선린고-연세대,82 해태 창단 멤버,9시즌,2B,569,-2.68,-0.39,1294,1252,1163,104,251,35,4,3,303,66,15,11,71,14,1,118,45,41,5,0.216,0.268,0.261,0.529,0.083,43.3,-3.07
1031,조흥운,1954년 08월 13일,우투우타,인천고-건국대,82 삼미 창단 멤버,5시즌,SS,291,1.33,2.90,859,838,774,100,187,33,8,5,251,71,71,29,59,2,0,106,11,21,3,0.242,0.296,0.324,0.620,0.119,78.0,4.23
1032,차동열,1956년 01월 17일,우투우타,경남고,82 롯데 창단 멤버,9시즌,C,433,-1.36,1.68,1080,1055,960,84,207,25,3,9,265,84,12,7,80,10,2,153,29,23,7,0.216,0.281,0.276,0.557,0.080,49.3,0.32
1033,차영화,1957년 06월 27일,우투우타,광주서림초-전남중-광주제일고,82 해태 창단 멤버,8시즌,SS,532,-0.74,2.12,1395,1344,1236,136,290,33,4,2,337,75,80,41,90,11,0,100,25,50,7,0.235,0.291,0.273,0.564,0.101,60.6,1.38
1034,허규옥,1956년 08월 08일,좌투좌타,대구대건고-한양대,82 삼성 창단 멤버,11시즌,LF,842,15.73,-1.50,2807,2746,2506,375,705,97,37,21,939,225,158,69,221,14,6,358,31,55,11,0.281,0.342,0.375,0.717,0.137,108.9,14.23
1035,김광수,1959년 01월 03일,우투우타,효제초-선린중-선린고-건국대,82 OB 창단 멤버,11시즌,SS,1046,11.19,5.61,4081,3910,3456,434,859,115,13,27,1081,306,190,101,393,50,6,267,87,164,17,0.249,0.332,0.313,0.645,0.111,86.0,16.80
1036,김유동,1954년 04월 09일,우투우타,동대문상고-한양대,82 OB 창단 멤버,4시즌,DH,136,0.16,-0.09,402,398,378,41,89,15,1,10,136,41,4,4,14,4,0,45,10,4,2,0.235,0.269,0.360,0.629,0.103,65.9,0.07
1037,김한근,1955년 03월 05일,우투우타,대구상고-한양대,82 삼성 창단 멤버,9시즌,3B,575,7.37,-0.34,1569,1550,1381,153,354,68,5,26,510,157,17,21,144,17,1,191,40,16,9,0.256,0.332,0.369,0.701,0.099,103.4,7.02
1039,박정환,1957년 05월 25일,우투우타,경상중-경북고-한양대,82 삼성 창단 멤버,9시즌,2B,387,0.36,0.23,798,791,736,76,172,26,1,22,266,106,4,7,35,13,0,154,13,7,7,0.234,0.278,0.361,0.639,0.096,66.0,0.59
1040,박종호,1964년 12월 07일,우투우타,대전고,82 OB 창단 멤버,1시즌,DH,4,0.13,-0.12,5,5,4,0,2,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0.500,0.600,0.500,1.100,0.000,262.7,0.01
1041,박찬,1955년 04월 26일,우투우타,경북고,82 삼성 창단 멤버,5시즌,RF,122,0.89,-0.58,302,301,275,35,69,14,0,2,89,24,5,3,23,2,0,52,7,1,1,0.251,0.312,0.324,0.636,0.116,87.6,0.31
1042,서정환,1955년 07월 05일,우투우타,경상중-경북고-건국대,82 삼성 창단 멤버,8시즌,2B,716,10.28,3.81,2583,2524,2277,285,609,75,9,22,768,199,136,71,213,33,7,265,38,52,8,0.267,0.338,0.337,0.675,0.113,96.8,14.09
1043,손상대,1954년 10월 20일,우투우타,경복중-경북고-한양대,82 삼성 창단 멤버,4시즌,C,33,-0.05,0.02,36,35,31,1,6,1,0,0,7,3,1,0,3,1,0,11,1,1,0,0.194,0.286,0.226,0.512,0.029,42.6,-0.03
1044,손상득,1956년 04월 03일,우투우타,대구중-경북고-고려대,82 삼성 창단 멤버,5시즌,C,236,-0.26,0.93,416,404,381,51,89,6,4,2,109,35,14,5,20,1,0,57,7,12,2,0.234,0.272,0.286,0.558,0.126,51.9,0.67
1045,유지훤,1955년 10월 04일,우투우타,대신초-대동중-대광고,82 OB 창단 멤버,7시즌,SS,630,-2.29,2.84,2007,1944,1807,173,407,54,15,12,527,187,38,30,106,23,1,141,54,61,9,0.225,0.276,0.292,0.568,0.089,52.6,0.54
1046,이근식,1959년 06월 23일,좌투좌타,충암고-한양대,82 OB 창단 멤버,5시즌,RF,253,-0.19,-0.84,532,521,477,46,111,16,1,1,132,41,10,4,34,9,2,47,11,9,3,0.233,0.294,0.277,0.571,0.088,57.6,-1.03
1047,이근식,1958년 03월 02일,좌투좌타,공주고,82 OB 창단 멤버,1시즌,RF,22,-0.22,-0.02,28,28,27,1,5,1,0,0,6,1,1,1,1,0,0,11,0,0,0,0.185,0.214,0.222,0.436,0.036,5.9,-0.24
1048,이홍범,1953년 02월 10일,우투우타,남산초-선린중-장충고,82 OB 창단 멤버,4시즌,CF,299,0.99,0.24,622,609,562,85,140,22,2,6,184,53,16,11,40,6,2,60,7,11,3,0.249,0.304,0.327,0.631,0.140,77.4,1.23
1049,정종현,1959년 12월 05일,우투우타,한양대,82 OB 창단 멤버,6시즌,C,151,0.51,0.40,307,303,271,32,60,8,2,11,105,31,1,4,20,10,0,34,8,3,2,0.221,0.297,0.387,0.684,0.106,78.7,0.91
1050,정혁진,1960년 07월 05일,좌투좌타,고려대,82 OB 창단 멤버,2시즌,RF,97,-0.10,-0.27,230,228,217,19,52,8,1,3,71,25,3,2,7,3,0,29,3,2,1,0.240,0.272,0.327,0.599,0.083,60.6,-0.37
1051,정현발,1953년 02월 20일,우투우타,경북고-한양대,82 삼성 창단 멤버,7시즌,CF,476,10.37,-1.10,1405,1380,1202,158,313,59,4,46,518,187,15,19,161,6,3,204,29,22,14,0.260,0.347,0.431,0.778,0.115,125.1,9.27
1052,천보성,1953년 06월 11일,우투우타,삼덕초-경운중-경북고-한양대,82 삼성 창단 멤버,3시즌,2B,174,2.04,0.63,511,495,444,56,106,22,1,8,154,55,10,5,47,2,0,41,7,15,2,0.239,0.313,0.347,0.660,0.113,93.7,2.67
1053,함학수,1955년 01월 02일,우투우타,경북고,82 삼성 창단 멤버,6시즌,1B,483,5.92,-0.37,1454,1429,1330,186,344,59,7,32,513,185,44,17,83,8,1,153,26,24,9,0.259,0.304,0.386,0.690,0.130,94.1,5.56
1054,구재서,1963년 08월 15일,우투양타,옥산초-경운중-신일고,82 OB 창단 멤버,6시즌,LF,247,-0.63,-0.16,38,37,33,61,4,1,0,0,5,2,10,7,2,1,0,5,2,1,1,0.121,0.189,0.152,0.341,1.649,-30.6,-0.78
1055,김경훈,1957년 01월 10일,우투우타,신일고,82 해태 창단 멤버,1시즌,C,30,-0.35,0.06,41,40,35,3,3,1,0,0,4,1,1,0,5,0,0,9,1,1,0,0.086,0.200,0.114,0.314,0.075,-13.8,-0.29
1056,김구길,1953년 06월 16일,우투우타,인천고,82 삼미 창단 멤버,1시즌,3B,32,-0.41,0.14,70,68,64,1,13,1,0,0,14,2,1,1,3,0,0,15,0,1,1,0.203,0.235,0.219,0.454,0.015,15.8,-0.27
1058,김봉기,1953년 12월 23일,우투우타,휘문고-성균관대,82 MBC 창단 멤버,6시즌,CF,145,-0.14,-0.02,95,92,81,36,20,2,1,0,24,11,5,6,6,5,0,13,1,3,0,0.247,0.337,0.296,0.633,0.391,71.4,-0.16
1060,김용만,1958년 07월 26일,우투우타,건국대,82 해태 2차 1라운드 5순위,1시즌,C,56,-0.93,0.17,110,109,102,7,15,3,0,0,18,7,2,1,6,1,0,10,3,1,0,0.147,0.202,0.176,0.378,0.064,-8.6,-0.77
1061,김일환,1954년 01월 11일,좌투좌타,대연초-부산동성중-부산고-성균관대,82 롯데 창단 멤버,8시즌,1B,451,1.31,-0.98,1075,1047,947,88,227,41,3,0,274,76,8,16,93,5,4,116,25,21,6,0.240,0.309,0.289,0.598,0.084,73.5,0.33
1062,김재박,1954년 05월 23일,우투우타,경운중-대광고-영남대,82 MBC 자유계약,11시즌,SS,966,20.78,12.09,4070,3980,3561,512,972,148,26,28,1256,321,284,119,364,45,15,279,51,74,25,0.273,0.346,0.353,0.699,0.129,103.6,32.87
1063,김재상,1959년 07월 06일,우투우타,남부민초-경남중-부경고-영남대,82 롯데 창단 멤버,8시즌,LF,403,1.05,0.14,782,761,676,121,158,20,4,4,198,52,88,39,72,9,1,79,13,20,5,0.234,0.314,0.293,0.607,0.159,75.7,1.19
1064,김종모,1959년 11월 01일,우투우타,서림초-광주동성중-광주상고-영남대,82 해태 창단 멤버,11시즌,RF,852,24.14,-7.99,3057,3010,2739,329,815,111,10,82,1192,395,26,31,250,15,20,257,104,27,26,0.298,0.356,0.435,0.791,0.109,127.3,16.15
1065,김종윤,1957년 06월 19일,우투우타,대전신흥초-군산중-군산상고-중앙대,82 해태 창단 멤버,5시즌,RF,265,0.98,-0.70,655,642,575,71,131,23,8,5,185,48,17,17,58,7,0,117,11,13,2,0.228,0.305,0.322,0.627,0.111,80.3,0.28
1066,김진철,1958년 04월 18일,우투우타,인천고-인하대,82 삼미 창단 멤버,1시즌,C,30,-0.57,0.06,50,50,46,3,6,1,1,0,9,4,0,2,3,1,0,12,1,0,0,0.130,0.200,0.196,0.396,0.060,-14.0,-0.51
1067,김진홍,1962년 09월 10일,우투우타,대전고-인하대,82 OB 창단 멤버,7시즌,C,69,0.02,0.19,70,69,64,5,15,1,1,0,18,3,1,1,5,0,0,5,1,1,0,0.234,0.290,0.281,0.571,0.073,62.4,0.21
1068,김호인,1954년 09월 12일,우투우타,인천고-단국대,82 삼미 창단 멤버,1시즌,CF,64,1.49,0.03,237,235,215,23,60,16,0,6,94,24,4,2,17,1,0,21,4,2,2,0.279,0.332,0.437,0.769,0.098,113.3,1.52
1069,김휘욱,1957년 08월 11일,우투우타,한양대,82 삼성 창단 멤버,1시즌,OF,36,-0.64,0.03,69,68,66,5,10,1,1,1,16,9,0,0,1,0,0,8,1,1,1,0.152,0.162,0.242,0.404,0.074,-15.8,-0.60
1070,문주모,1962년 11월 14일,우투우타,동산고,82 삼미 창단 멤버,1시즌,CF,11,-0.24,-0.08,15,15,14,1,1,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0.071,0.133,0.071,0.204,0.067,-72.0,-0.32
1072,박용성,1958년 09월 30일,우투우타,용마고-동아대,82 롯데 창단 멤버,7시즌,RF,361,6.84,-1.95,1059,1039,922,108,238,34,4,43,409,145,12,13,94,18,2,158,29,15,7,0.258,0.336,0.444,0.780,0.104,118.5,4.89
1073,박재천,1957년 10월 10일,우투우타,휘문고,82 MBC 창단 멤버,2시즌,IF,15,-0.16,0.02,22,22,21,2,3,0,1,0,5,0,1,0,1,0,0,3,0,0,0,0.143,0.182,0.238,0.420,0.091,-6.6,-0.14
1074,박전섭,1959년 02월 04일,우투우타,동국대,82 해태 창단 멤버,4시즌,C,69,-0.55,0.15,164,162,152,12,32,5,1,0,39,12,0,1,7,2,0,22,5,2,1,0.211,0.253,0.257,0.510,0.074,35.0,-0.40
1075,박준영,1953년 02월 20일,좌투좌타,선린고,82 삼미 창단 멤버,3시즌,LF,135,0.46,1.06,388,382,342,34,75,14,0,3,98,26,0,3,38,1,1,63,1,5,2,0.219,0.298,0.287,0.585,0.089,71.1,1.52
1077,배수희,1955년 04월 30일,우투우타,경동고,82 MBC 창단 멤버,1시즌,OF,22,-0.05,0.37,24,24,23,2,5,0,1,0,7,3,0,0,1,0,0,4,0,0,0,0.217,0.250,0.304,0.554,0.083,42.3,0.32
1078,송영운,1952년 12월 15일,좌투좌타,인천서림초-장충중-장충고,82 MBC 창단 멤버,7시즌,RF,354,3.62,-0.53,945,929,817,80,214,30,4,2,258,83,20,19,103,4,3,87,13,13,8,0.262,0.344,0.316,0.660,0.086,96.7,3.08
1080,신언호,1955년 12월 18일,우투우타,배재고-연세대,82 MBC 창단 멤버,9시즌,RF,728,1.09,-2.59,2244,2185,2013,183,487,77,12,18,642,211,42,33,139,14,3,205,49,55,22,0.242,0.293,0.319,0.612,0.084,66.9,-1.50
1082,엄태섭,1959년 07월 17일,좌투좌타,용마고-동아대,82 롯데 창단 멤버,3시즌,OF,46,-0.70,0.37,109,109,105,8,19,3,0,0,22,6,2,0,4,0,0,14,1,0,0,0.181,0.211,0.210,0.421,0.073,4.9,-0.34
1083,유승안,1956년 06월 01일,우투우타,경동고-목원대,82 MBC 창단 멤버,10시즌,C,787,16.32,5.31,2507,2467,2189,238,576,85,3,92,943,358,15,22,264,9,22,411,51,18,27,0.263,0.341,0.431,0.772,0.097,116.5,21.63
1084,이경수,1959년 05월 27일,우투우타,서울고-한양대,82 삼미 창단 멤버,1시즌,CF,32,-0.30,0.03,62,62,59,9,11,3,1,0,16,3,1,0,2,1,0,8,1,0,0,0.186,0.226,0.271,0.497,0.145,18.3,-0.27
1086,이성득,1953년 07월 21일,우투우타,대신초-경남중-경남고-고려대,82 롯데 창단 멤버,1시즌,2B,51,-0.56,-0.08,132,129,116,6,22,1,0,0,23,2,2,2,12,0,0,8,5,3,1,0.190,0.264,0.198,0.462,0.047,29.4,-0.63
1088,이찬선,1962년 05월 21일,우투우타,동산고,82 삼미 창단 멤버,1시즌,IF,22,-1.19,-0.05,59,58,56,2,3,0,0,0,3,3,0,0,1,1,0,11,2,1,0,0.054,0.086,0.054,0.140,0.035,-105.7,-1.23
1089,이철성,1957년 03월 14일,우투우타,상인천중-인천고-인하대,82 삼미 창단 멤버,3시즌,RF,108,0.24,-0.01,285,276,254,22,62,12,1,0,76,19,3,6,20,1,0,16,4,9,1,0.244,0.301,0.299,0.600,0.080,75.4,0.23
1090,이춘근,1948년 03월 01일,우투우타,동산고,82 삼미 창단 멤버,1시즌,LF,3,-0.08,0.01,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,-165.0,-0.07
1091,임신근,1949년 11월 28일,좌투좌타,경북고,82 삼성 창단 멤버(코치 겸 선수),1시즌,IF,2,0.02,0.01,5,5,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.400,0.000,0.400,0.000,83.2,0.02
1092,임정면,1958년 09월 17일,우투우타,용마고-건국대,82 해태 창단 멤버,7시즌,3B,163,0.14,-0.03,334,325,291,33,66,8,1,2,82,15,6,5,25,9,0,38,3,9,0,0.227,0.308,0.282,0.590,0.102,65.7,0.11
1093,장정기,1958년 08월 10일,우투우타,인천고-인하대,82 삼미 창단 멤버,4시즌,1B,150,1.07,0.01,368,358,308,50,69,16,1,4,99,30,11,3,39,10,0,36,4,10,1,0.224,0.330,0.321,0.651,0.140,83.3,1.07
1094,정문섭,1960년 04월 04일,우투우타,동대문상고,82 롯데 2차 4라운드 19순위,3시즌,RF,76,-0.26,0.17,157,154,136,13,25,3,0,4,40,13,0,2,16,1,0,36,1,3,1,0.184,0.273,0.294,0.567,0.084,52.7,-0.10
1095,정학수,1956년 12월 04일,우투우타,진해중-용마고-동아대,82 롯데 창단 멤버,6시즌,2B,356,7.51,1.59,1236,1210,1052,137,283,52,6,6,365,92,28,20,141,8,3,92,19,23,12,0.269,0.356,0.347,0.703,0.113,113.4,9.10
1096,조호,1957년 09월 22일,우투우타,대구상고,82 MBC 2차 1라운드 1순위,3시즌,2B,77,-0.05,-0.17,79,78,66,11,15,2,0,0,17,4,4,2,6,5,0,16,1,1,1,0.227,0.333,0.258,0.591,0.141,59.2,-0.21
1097,최순하,1955년 01월 15일,우투우타,부경고-동아대,82 롯데 창단 멤버,1시즌,C,38,-0.14,0.30,94,93,82,5,17,0,0,0,17,5,0,0,10,1,0,8,1,1,0,0.207,0.301,0.207,0.508,0.054,46.6,0.17
1098,최영조,1963년 01월 15일,우투우타,광주상고,82 해태 창단 멤버,1시즌,2B,25,-0.13,0.28,37,37,32,1,5,0,0,0,5,1,1,0,5,0,0,11,1,0,0,0.156,0.270,0.156,0.426,0.027,25.8,0.15
1099,최영환,1959년 02월 28일,우투우타,동산고-영남대,82 삼미 창단 멤버,5시즌,C,135,-0.74,0.15,282,280,255,22,50,7,3,4,75,25,0,2,18,3,0,47,9,2,4,0.196,0.254,0.294,0.548,0.079,39.4,-0.59
1100,최정기,1956년 07월 16일,우투우타,대전신흥초-한밭중-충암고-동국대,82 MBC 창단 멤버,2시즌,C,29,0.15,0.09,35,35,32,4,9,3,0,1,15,8,0,1,2,0,0,8,0,0,1,0.281,0.314,0.469,0.783,0.114,113.2,0.24
1101,최정우,1955년 06월 02일,우투우타,배문중,82 MBC 창단 멤버,3시즌,CF,108,-0.88,-0.20,156,154,141,21,24,2,1,0,28,7,6,2,13,0,0,29,3,1,0,0.170,0.240,0.199,0.439,0.136,13.6,-1.08
1102,허운,1959년 08월 18일,우투우타,동산고-중앙대,82 삼미 창단 멤버,3시즌,2B,77,-0.44,0.50,205,201,192,17,44,4,0,2,54,12,0,0,7,2,0,28,1,4,0,0.229,0.264,0.281,0.545,0.085,40.4,0.06
1103,홍순만,1957년 07월 11일,우투우타,대전고-동국대,82 해태 창단 멤버,2시즌,C,19,-0.21,-0.33,23,23,19,3,1,0,0,0,1,0,0,0,4,0,0,3,4,0,0,0.053,0.217,0.053,0.270,0.130,-20.7,-0.54
1136,김대진,1955년 12월 22일,우투우타,삼덕초-경북고-연세대,83 삼미 2차 1라운드 2순위,5시즌,LF,275,1.78,0.27,660,637,568,61,135,17,2,8,180,46,5,2,52,14,1,77,8,22,4,0.238,0.315,0.317,0.632,0.096,81.0,2.05
1137,김무종,1954년 04월 07일,우투우타,-,83 해태 재일교포 자유계약,6시즌,C,445,5.35,3.79,1543,1502,1357,137,326,62,6,41,523,192,4,11,115,13,6,187,35,35,23,0.240,0.301,0.385,0.686,0.091,91.0,9.14
1138,김진우,1958년 09월 24일,우투우타,상인천중-인천고-인하대,83 삼미 1차,6시즌,C,471,10.50,2.33,1701,1676,1453,168,363,62,5,43,564,173,16,13,196,25,11,241,52,14,13,0.250,0.346,0.388,0.734,0.100,112.3,12.83
1139,박종훈,1959년 06월 12일,좌투좌타,신일중-신일고-고려대,83 OB 1차,7시즌,CF,682,17.41,3.91,2518,2453,2209,281,640,94,17,32,864,231,71,40,213,21,8,145,28,57,18,0.290,0.355,0.391,0.746,0.115,119.8,21.32
1140,유두열,1956년 10월 29일,우투우타,마산월포초-마산동중-용마고,83 롯데 1차,9시즌,DH,738,15.86,-5.03,2593,2535,2224,297,588,102,14,58,892,268,56,40,256,47,12,220,47,46,20,0.264,0.350,0.401,0.751,0.117,114.6,10.83
1141,이해창,1953년 04월 23일,우투우타,선린고-건국대,82 MBC 자유계약,6시즌,CF,577,13.66,2.23,2146,2125,1873,317,508,88,19,32,730,182,144,81,225,17,8,239,23,13,18,0.271,0.352,0.390,0.742,0.149,120.4,15.89
1142,장효조,1956년 07월 06일,좌투좌타,삼덕초-대구중-대구상고-한양대,83 삼성 1차,10시즌,LF,964,45.49,-1.57,3632,3575,3050,485,1009,157,36,54,1400,437,110,60,506,27,38,289,31,16,30,0.331,0.427,0.459,0.886,0.136,166.7,43.92
1143,정구선,1956년 12월 15일,우투우타,대전고-동국대,83 OB 1차,8시즌,2B,769,19.19,5.14,3036,2975,2574,308,644,92,5,84,998,316,18,20,365,33,13,284,53,48,16,0.250,0.349,0.388,0.737,0.104,113.0,24.33
1144,한대화,1960년 07월 08일,우투우타,대전신흥초-한밭중-대전고-동국대,83 OB 1차,15시즌,3B,1335,45.97,-2.75,4982,4915,4264,610,1190,199,21,163,1920,712,79,53,608,33,28,567,118,38,38,0.279,0.370,0.450,0.820,0.124,139.5,43.22
1145,한문연,1961년 04월 10일,우투우타,마산동중-용마고-동아대,83 롯데 1차,10시즌,C,664,6.21,3.81,1734,1660,1490,119,381,68,4,14,499,165,8,11,144,11,2,123,39,72,17,0.256,0.323,0.335,0.658,0.072,90.5,10.02
1146,김정수,1960년 10월 13일,우투우타,신일고-고려대,83 MBC 1차,3시즌,1B,181,1.32,-1.06,541,525,457,46,102,18,5,7,151,51,9,6,57,2,1,106,10,15,10,0.223,0.306,0.330,0.636,0.088,81.9,0.27
