Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
10504,김민기,1977년 05월 19일,우투우타,남정초-배명중-덕수고,97 LG 고졸우선 지명 1,11시즌,P,307,56,251,61,0,0,33,39,14,32,621.2,348,372,372.00,2754,710,,,68,240,26,16,416,,1,17,5.04,5.39,5.39,4.30,1.53,5.03
10505,김수형,1985년 03월 27일,우투우타,부산연천초-개성중-부산고-고려대,08 LG 육성선수,2시즌,P,9,0,9,3,0,0,0,0,0,0,8.1,7,7,7.00,41,13,,,1,2,2,0,4,,0,0,7.56,7.56,7.56,5.24,1.80,-0.08
10506,노진용,1990년 02월 15일,우언우타,응암초-덕수중-중앙고,08 LG 2차 5라운드 33순위,2시즌,P,17,0,17,6,0,0,0,1,1,0,26.2,16,16,17.20,130,35,,,4,15,5,1,11,,0,1,5.40,5.40,5.74,6.62,1.88,0.34
10507,류택현,1971년 10월 23일,좌투좌타,도곡초-신일중-휘문고-동국대,94 OB 1차,20시즌,P,901,13,888,107,0,0,15,29,6,122,614.2,301,324,326.70,2696,613,,,62,272,36,22,536,,2,33,4.41,4.74,4.79,3.89,1.44,8.55
10508,바우어,1977년 01월 10일,우투우타,-,09 LG 자유선발,1시즌,P,7,6,1,0,0,0,2,2,0,0,27.1,24,24,24.00,129,31,,,5,18,2,0,15,,1,2,7.90,7.90,7.90,6.72,1.79,-0.15
10509,민경수,1981년 05월 19일,좌투좌타,내발산초-신월중-충암고-경성대,00 LG 2차 7라운드 51순위,5시즌,P,148,0,148,11,0,0,0,4,0,21,64.0,30,32,32.00,289,69,,,3,34,3,1,49,,0,6,4.22,4.50,4.50,3.72,1.61,0.93
10510,박명환,1977년 06월 07일,우투우타,서울청구초-충암중-충암고-세한대,96 OB 고졸우선 지명 2,17시즌,P,326,260,66,46,13,4,103,93,9,8,1613.2,683,748,748.85,6917,1444,,,120,731,66,10,1421,,3,119,3.81,4.17,4.18,3.54,1.35,29.19
10511,박지철,1975년 04월 13일,우투우타,동삼초-경남중-동래고,94 롯데 자유계약,14시즌,P,307,160,147,79,5,1,61,72,13,3,1117.2,524,583,583.00,4870,1098,,,100,513,60,12,719,,2,58,4.22,4.69,4.69,4.34,1.44,17.10
10512,배우열,1986년 05월 19일,우투양타,신곡초-수원북중-야탑고,09 LG 육성선수,6시즌,P,87,0,87,28,0,0,1,3,1,9,105.1,77,81,90.95,498,149,,,14,39,5,0,96,,0,10,6.58,6.92,7.78,4.76,1.78,-0.33
10514,봉중근,1980년 07월 15일,좌투좌타,수유초-신일중-신일고,07 LG 1차,10시즌,P,321,114,207,158,0,0,55,46,109,2,899.1,341,372,387.65,3818,835,,,65,355,71,11,654,,2,48,3.41,3.72,3.88,4.15,1.32,22.85
10515,서승화,1979년 07월 13일,좌투좌타,대전유천초-한밭중-대전고-동국대,98 LG 2차 3라운드 23순위,7시즌,P,147,26,121,17,1,0,2,23,1,17,259.0,180,192,192.00,1226,283,,,30,166,24,6,194,,0,29,6.25,6.67,6.67,5.12,1.73,-0.66
10516,신정락,1987년 05월 13일,우언우타,천안남산초-천안북중-북일고-고려대,10 LG 1라운드 1순위,12시즌,P,347,30,317,74,0,0,27,26,11,32,480.1,280,316,311.60,2152,510,,,45,188,65,13,392,,0,23,5.25,5.92,5.85,4.60,1.45,1.50
